,Building,Demand (kWh/year),PV_gen(kWh/year),SELFCONS (kWh/year),SELFCONS (SS RATIO),EC_SHARING (kWh/year),EC_SHARING (SS RATIO),EC_BESS (kWh/year),EC_BESS (SS RATIO),Self_consumed_energy (kWh/year)
0,Bosm-w210107537,65163.38299999999,92079.24999999999,48313.106,0.2585850553523287,47702.79359862687,0.2679509349809711,20739.932484902718,0.6817241289498011,16850.276999999987
1,Bosm-w210107538,63399.22900000001,88759.08,47056.383,0.2577767310072494,46443.72213428191,0.26744026911933105,20324.1525521492,0.6794258720062795,16342.846000000005
2,Bosm-w210107539,63352.519,86182.22,47155.699,0.25566181512056374,46484.1355178371,0.2662622378466577,20320.274378385373,0.6792507275301023,16196.820000000007
3,Bosm-w210107545,63369.017,84900.79,47289.105,0.2537503777279675,46579.2373276278,0.2649525030879396,20377.78223260142,0.6784267265404886,16079.911999999997
4,Bosm-w210107547,47285.408,120519.65,33470.225999999995,0.29216586224655194,33437.1040365487,0.2928663312675932,13374.338796550725,0.7171571661906624,13815.181999999986
5,Bosm-w210107549,72115.571,110014.86,45191.807,0.3733418958854253,44668.7600203468,0.38059479525792284,12715.435309602053,0.8236797527457412,26923.763999999996
6,Bosm-w210107553,52532.246999999996,101524.19,37394.448000000004,0.288162031218653,37315.50156412851,0.28966484978020235,14888.841347782896,0.7165771083848194,15137.798999999999
7,Bosm-w210481762,92713.42899999999,207484.94999999998,65147.633,0.2973225809607365,65105.28174254604,0.29777937840540825,25109.214903985237,0.7291739160679167,27565.796000000002
8,Bosm-w210481763,133364.592,220209.94999999998,82624.926,0.38045830035606454,81839.58320501079,0.3863469907739021,22895.018474177097,0.8283276083191774,50739.666
9,Bosm-w210481764,463945.946,254280.2,384787.729,0.17061948203767685,357184.3061643222,0.23011654861119923,197954.26902133116,0.5733247143809914,79158.217
10,Bosm-w210493828,172540.405,90062.46,144771.859,0.16093938112640926,133641.61052000138,0.22544745087389018,73774.05635851072,0.5724244627888133,27768.54600000001
11,Bosm-w210493833,42945.509,70472.15,30971.007999999998,0.2788301100354871,30837.728506151176,0.2819335659486263,12381.271043527566,0.7116981185732933,11974.501000000004
12,Bosm-w210493834,43141.95,71345.62000000001,31151.513,0.2779298803137086,31028.315954628455,0.2807855010116961,12505.433909472053,0.7101328542295364,11990.437000000005
13,Bosm-w210493837,107547.275,175244.83000000002,78686.714,0.26835232226943906,78097.83470576252,0.2738278612288175,33167.94969982024,0.6915965588173179,28860.561000000016
14,Bosm-w210493839,166557.09499999997,91881.06000000001,138269.56,0.1698368658507161,128594.87364777144,0.22792317164410525,70964.31615189099,0.5739339945146678,28287.53500000001
15,Bosm-w210493844,47925.629,86012.86000000002,34360.394,0.28304761529577427,34271.502757166134,0.28490238996829576,13554.02797938788,0.7171862266139923,13565.235000000015
16,Bosm-w210493845,46974.193,74433.03000000001,34133.148,0.27336382340831267,33898.57362997347,0.2783575094100399,14625.658524763232,0.6886448155743041,12841.045000000013
17,Bosm-w210493850,331223.26200000005,164664.83000000002,279268.573,0.15685700541165515,256831.79030467622,0.22459615682223377,142238.51880381163,0.5705660346892798,51954.68900000001
18,Bosm-w210493851,84975.195,158118.06,61041.28,0.28165766492209876,60801.74941257878,0.2844764944337136,24261.174472028917,0.7144910997611842,23933.915000000008
19,Bosm-w210493853,151056.85,74044.28,127216.626,0.15782285940690544,117023.27057036263,0.22530311885649257,64359.13125609939,0.5739409946910756,23840.224000000002
20,Bosm-w210497541,39105.198,95580.04,27541.291999999994,0.29571275920914664,27501.491887527838,0.29673052959537904,11139.496789388875,0.7151402534929275,11563.906000000003
21,Bosm-w210497543,23682.63,118568.52,13599.016,0.4257810048968379,13594.271815461774,0.4259813282789211,4949.993280510364,0.7909863355332426,10083.614000000001
22,Bosm-w210497544,116247.00899999999,341450.7,69462.815,0.40245503434845353,69222.93972874514,0.4045185306338063,23801.8483888959,0.7952476490049227,46784.19400000002
23,Bosm-w210497545,9802.324,45608.93,5522.21,0.43664277981425637,5520.25660907838,0.4368420581610667,2147.3526395904682,0.7809343335732967,4280.114000000001
24,Bosm-w210497546,20714.125,118268.7,14075.911000000002,0.3204679898378521,14075.199458025236,0.3205023404065952,5551.854975210599,0.7319773355036431,6638.214000000022
25,Bosm-w210497547,40598.922999999995,99252.07000000002,28593.161,0.2957162681384429,28547.094833317522,0.2968509328851525,11542.445441364842,0.7156957724872445,12005.762000000017
26,Bosm-w210497549,48314.03200000001,140230.38,28737.802000000003,0.4051872549159218,28635.589954356543,0.40730283172481774,9824.452928745264,0.7966542529767489,19576.23000000001
27,Bosm-w210497550,18425.460000000003,48125.85,10837.080000000002,0.4118420924090904,10770.271591619983,0.4154679670618817,4105.901361917353,0.7771615274778838,7588.379999999997
28,Bosm-w210497551,34736.825000000004,179577.28999999998,20130.585,0.42048287372262727,20123.84267053083,0.420676971181712,7160.345047822208,0.7938687531798831,14606.23999999999
29,Bosm-w210497552,40078.328,118620.59000000001,23882.447,0.40410570520806155,23790.404654472066,0.4064022667195082,8222.868603059527,0.7948300487221042,16195.881000000008
30,Bosm-w210497554,9696.025000000001,45815.909999999996,5454.005999999999,0.43750083152632147,5452.21678266588,0.4376853625412601,2126.39730813576,0.7806939123882457,4242.018999999993
31,Bosm-w210497555,20909.704,105276.84,12012.032000000001,0.42552835755111595,12008.032304977192,0.42571964170429233,4408.259068823676,0.7891764001621603,8897.671999999991
32,Bosm-w210497556,40303.398,121969.61,23967.612,0.4053203156716464,23889.19854424794,0.4072658949439464,8229.702106074783,0.7958062467567926,16335.785999999993
33,Bosm-w210497557,23413.657,115269.48999999999,13385.656,0.4282970831937958,13381.907341376917,0.4284571888373987,5030.4833106069555,0.7851474756546166,10028.00099999999
34,Bosm-w210497558,39726.636,118708.01999999999,23654.918,0.40455773803752215,23574.747130199135,0.4065758014295714,8162.119490628893,0.794542898355932,16071.717999999993
35,Bosm-w210497559,18259.457000000002,49108.799999999996,10650.636999999999,0.41670571036148574,10597.824577462095,0.41959804295045056,4014.302050022147,0.7801521671744047,7608.819999999992
36,Bosm-w210497560,19070.442000000003,93138.48000000001,10919.829,0.42739507558346057,10915.084795586541,0.42764384823453283,4073.8850516044067,0.7863769989387552,8150.613000000012
